#  NACA 2814                                       
#  alpha =   4.0000
#  Mach  =   0.0000
#  Reyn  =   700000
#  Ncrit =  12.0000
#
#    x           cf
   0.499817E-02  0.209961E-03
   0.358061E-02  0.291522E-02
   0.240290E-02  0.598098E-02
   0.146544E-02  0.957840E-02
   0.766382E-03  0.130569E-01
   0.299078E-03  0.165039E-01
   0.517258E-04  0.193342E-01
   0.652751E-05  0.217587E-01
   0.154102E-03  0.237076E-01
   0.509248E-03  0.247173E-01
   0.108182E-02  0.248788E-01
   0.187894E-02  0.242401E-01
   0.290336E-02  0.229944E-01
   0.415660E-02  0.213599E-01
   0.564014E-02  0.195338E-01
   0.735722E-02  0.176665E-01
   0.931400E-02  0.158611E-01
   0.115205E-01  0.141727E-01
   0.139914E-01  0.126309E-01
   0.167467E-01  0.112430E-01
   0.198125E-01  0.100041E-01
   0.232220E-01  0.890621E-02
   0.270161E-01  0.793331E-02
   0.312450E-01  0.707390E-02
   0.359687E-01  0.631355E-02
   0.412578E-01  0.564076E-02
   0.471933E-01  0.504356E-02
   0.538643E-01  0.451355E-02
   0.613632E-01  0.404160E-02
   0.697769E-01  0.362100E-02
   0.791741E-01  0.324527E-02
   0.895906E-01  0.290954E-02
   0.101018      0.260851E-02
   0.113400      0.233794E-02
   0.126644      0.209394E-02
   0.140632      0.187281E-02
   0.155247      0.167101E-02
   0.170377      0.148570E-02
   0.185930      0.131435E-02
   0.201829      0.115507E-02
   0.218015      0.100632E-02
   0.234442      0.867026E-03
   0.251074      0.736539E-03
   0.267883      0.614978E-03
   0.284846      0.502840E-03
   0.301944      0.401288E-03
   0.319163      0.312158E-03
   0.336491      0.237637E-03
   0.353915      0.180446E-03
   0.371427      0.144026E-03
   0.389018      0.134006E-03
   0.406682      0.163545E-03
   0.424412      0.269599E-03
   0.442201      0.908624E-03
   0.460045      0.248726E-02
   0.477938      0.433989E-02
   0.495875      0.557019E-02
   0.513853      0.619311E-02
   0.531868      0.643545E-02
   0.549915      0.646934E-02
   0.567990      0.639489E-02
   0.586091      0.626674E-02
   0.604214      0.611431E-02
   0.622355      0.595365E-02
   0.640510      0.579350E-02
   0.658674      0.563866E-02
   0.676841      0.549186E-02
   0.695002      0.535493E-02
   0.713143      0.522936E-02
   0.731240      0.511736E-02
   0.749252      0.502207E-02
   0.767109      0.495166E-02
   0.784689      0.491288E-02
   0.801795      0.499067E-02
   0.818246      0.498470E-02
   0.834311      0.480464E-02
   0.850136      0.454505E-02
   0.865794      0.421993E-02
   0.881309      0.384069E-02
   0.896674      0.341373E-02
   0.911847      0.294590E-02
   0.926754      0.244860E-02
   0.941269      0.194212E-02
   0.955217      0.145749E-02
   0.968380      0.103042E-02
   0.980531      0.687180E-03
   0.991499      0.435306E-03
    1.00000      0.282104E-03
    1.00010       0.00000    
    1.00899       0.00000    
    1.01914       0.00000    
    1.03067       0.00000    
    1.04377       0.00000    
    1.05863       0.00000    
    1.07549       0.00000    
    1.09462       0.00000    
    1.11632       0.00000    
    1.14093       0.00000    
    1.16884       0.00000    
    1.20049       0.00000    
    1.23638       0.00000    
    1.27707       0.00000    
    1.32320       0.00000    
    1.37550       0.00000    
    1.43479       0.00000    
    1.50200       0.00000    
    1.57819       0.00000    
    1.66455       0.00000    
    1.76245       0.00000    
    1.87341       0.00000    
    1.99919       0.00000    

   0.665500E-02  0.196540E-02
   0.855236E-02  0.344964E-02
   0.106948E-01  0.476219E-02
   0.130911E-01  0.544290E-02
   0.157552E-01  0.605464E-02
   0.187069E-01  0.630721E-02
   0.219723E-01  0.646717E-02
   0.255849E-01  0.647274E-02
   0.295867E-01  0.639688E-02
   0.340288E-01  0.625030E-02
   0.389730E-01  0.605561E-02
   0.444923E-01  0.582457E-02
   0.506707E-01  0.556824E-02
   0.576015E-01  0.529465E-02
   0.653819E-01  0.501045E-02
   0.741045E-01  0.472122E-02
   0.838430E-01  0.443184E-02
   0.946370E-01  0.414752E-02
   0.106478      0.387223E-02
   0.119308      0.360982E-02
   0.133025      0.336249E-02
   0.147504      0.313204E-02
   0.162617      0.291851E-02
   0.178248      0.272141E-02
   0.194297      0.253994E-02
   0.210686      0.237263E-02
   0.227354      0.221825E-02
   0.244254      0.207549E-02
   0.261348      0.194318E-02
   0.278610      0.182014E-02
   0.296018      0.170552E-02
   0.313553      0.159836E-02
   0.331201      0.149790E-02
   0.348950      0.140348E-02
   0.366789      0.131440E-02
   0.384711      0.123003E-02
   0.402707      0.114988E-02
   0.420771      0.107332E-02
   0.438896      0.999863E-03
   0.457078      0.928904E-03
   0.475311      0.859821E-03
   0.493590      0.791975E-03
   0.511913      0.724691E-03
   0.530274      0.657030E-03
   0.548670      0.588131E-03
   0.567098      0.516853E-03
   0.585554      0.442031E-03
   0.604035      0.362630E-03
   0.622536      0.278080E-03
   0.641056      0.189206E-03
   0.659589      0.994398E-04
   0.678129      0.159340E-04
   0.696668     -0.513220E-04
   0.715193     -0.942112E-04
   0.733682     -0.113053E-03
   0.752097     -0.115744E-03
   0.770369     -0.112251E-03
   0.788379     -0.107400E-03
   0.805933     -0.103619E-03
   0.822959     -0.101970E-03
   0.839720     -0.102565E-03
   0.856325      0.273881E-04
   0.872817      0.650557E-03
   0.889196      0.149135E-02
   0.905421      0.220507E-02
   0.921408      0.272681E-02
   0.937012      0.310142E-02
   0.952024      0.338109E-02
   0.966181      0.360360E-02
   0.979220      0.381046E-02
   0.990945      0.396733E-02
    1.00000      0.458682E-02
    1.00010       0.00000    
    1.00899       0.00000    
    1.01914       0.00000    
    1.03067       0.00000    
    1.04377       0.00000    
    1.05863       0.00000    
    1.07549       0.00000    
    1.09462       0.00000    
    1.11632       0.00000    
    1.14093       0.00000    
    1.16884       0.00000    
    1.20049       0.00000    
    1.23638       0.00000    
    1.27707       0.00000    
    1.32320       0.00000    
    1.37550       0.00000    
    1.43479       0.00000    
    1.50200       0.00000    
    1.57819       0.00000    
    1.66455       0.00000    
    1.76245       0.00000    
    1.87341       0.00000    
    1.99919       0.00000    

