#      x          Cp  
     1.00000    0.19806
     0.99150    0.17429
     0.98053    0.13548
     0.96838    0.08452
     0.95522    0.02379
     0.94127   -0.04501
     0.92675   -0.12419
     0.91185   -0.21655
     0.89667   -0.28656
     0.88131   -0.29182
     0.86579   -0.29916
     0.85014   -0.30927
     0.83431   -0.31995
     0.81825   -0.32779
     0.80179   -0.32920
     0.78469   -0.32904
     0.76711   -0.33269
     0.74925   -0.33790
     0.73124   -0.34419
     0.71314   -0.35123
     0.69500   -0.35887
     0.67684   -0.36701
     0.65867   -0.37559
     0.64051   -0.38458
     0.62235   -0.39395
     0.60421   -0.40367
     0.58609   -0.41373
     0.56799   -0.42410
     0.54991   -0.43475
     0.53187   -0.44565
     0.51385   -0.45678
     0.49588   -0.46812
     0.47794   -0.47963
     0.46004   -0.49129
     0.44220   -0.50307
     0.42441   -0.51494
     0.40668   -0.52686
     0.38902   -0.53881
     0.37143   -0.55073
     0.35391   -0.56258
     0.33649   -0.57432
     0.31916   -0.58590
     0.30194   -0.59724
     0.28485   -0.60829
     0.26788   -0.61896
     0.25107   -0.62918
     0.23444   -0.63883
     0.21802   -0.64781
     0.20183   -0.65599
     0.18593   -0.66321
     0.17038   -0.66930
     0.15525   -0.67407
     0.14063   -0.67728
     0.12664   -0.67872
     0.11340   -0.67813
     0.10102   -0.67530
     0.08959   -0.67002
     0.07917   -0.66211
     0.06978   -0.65146
     0.06136   -0.63791
     0.05386   -0.62131
     0.04719   -0.60142
     0.04126   -0.57795
     0.03597   -0.55051
     0.03125   -0.51860
     0.02702   -0.48159
     0.02322   -0.43873
     0.01981   -0.38912
     0.01675   -0.33173
     0.01399   -0.26539
     0.01152   -0.18891
     0.00931   -0.10113
     0.00736   -0.00115
     0.00564    0.11130
     0.00416    0.23541
     0.00290    0.36867
     0.00188    0.50635
     0.00108    0.64134
     0.00051    0.76474
     0.00015    0.86771
     0.00001    0.94268
     0.00005    0.98712
     0.00030    0.99971
     0.00077    0.97798
     0.00147    0.92405
     0.00240    0.84425
     0.00358    0.74734
     0.00500    0.64216
     0.00666    0.53591
     0.00855    0.43366
     0.01069    0.33835
     0.01309    0.25140
     0.01576    0.17317
     0.01871    0.10339
     0.02197    0.04150
     0.02558   -0.01321
     0.02959   -0.06145
     0.03403   -0.10389
     0.03897   -0.14113
     0.04449   -0.17364
     0.05067   -0.20183
     0.05760   -0.22601
     0.06538   -0.24639
     0.07410   -0.26314
     0.08384   -0.27635
     0.09464   -0.28616
     0.10648   -0.29271
     0.11931   -0.29620
     0.13302   -0.29692
     0.14750   -0.29518
     0.16262   -0.29134
     0.17825   -0.28573
     0.19430   -0.27865
     0.21069   -0.27038
     0.22735   -0.26113
     0.24425   -0.25109
     0.26135   -0.24043
     0.27861   -0.22926
     0.29602   -0.21770
     0.31355   -0.20584
     0.33120   -0.19375
     0.34895   -0.18149
     0.36679   -0.16913
     0.38471   -0.15671
     0.40271   -0.14430
     0.42077   -0.13194
     0.43890   -0.11971
     0.45708   -0.10771
     0.47531   -0.09605
     0.49359   -0.08487
     0.51191   -0.07429
     0.53027   -0.06444
     0.54867   -0.05534
     0.56710   -0.04697
     0.58555   -0.03921
     0.60403   -0.03197
     0.62254   -0.02514
     0.64106   -0.01861
     0.65959   -0.01225
     0.67813    0.01106
     0.69667    0.07494
     0.71519    0.10710
     0.73368    0.12302
     0.75210    0.13688
     0.77037    0.15331
     0.78838    0.17384
     0.80593    0.20333
     0.82296    0.22369
     0.83972    0.23744
     0.85632    0.24744
     0.87282    0.25452
     0.88920    0.25914
     0.90542    0.26155
     0.92141    0.26187
     0.93701    0.26020
     0.95202    0.25654
     0.96618    0.25102
     0.97922    0.24277
     0.99095    0.23492
     1.00000    0.19806
