  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 22112                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.700 e 6     Ncrit =  12.000 12.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -2.000  -0.1319   0.00636   0.00009   0.0021   0.7840   0.6134  19.4827  95.3764
  -1.750  -0.1067   0.00629   0.00007   0.0029   0.7588   0.6495  20.6290  96.8077
  -1.500  -0.0809   0.00624   0.00007   0.0036   0.7347   0.6802  21.6904  98.0453
  -1.250  -0.0552   0.00620   0.00008   0.0043   0.7121   0.7100  22.6619  99.2841
  -1.000  -0.0296   0.00617   0.00011   0.0051   0.6888   0.7419  23.6356 100.6506
  -0.750  -0.0035   0.00618   0.00013   0.0057   0.6653   0.7676  24.5952 101.7912
  -0.500   0.0228   0.00621   0.00017   0.0063   0.6434   0.7911  25.4799 102.8711
  -0.250   0.0489   0.00625   0.00021   0.0069   0.6218   0.8153  26.3377 104.0324
   0.000   0.0748   0.00631   0.00028   0.0077   0.6002   0.8382  27.1882 105.1916
   0.250   0.1008   0.00640   0.00034   0.0084   0.5781   0.8578  28.0464 106.2316
   0.500   0.1274   0.00649   0.00039   0.0089   0.5564   0.8732  28.8845 107.0923
   0.750   0.1538   0.00660   0.00045   0.0095   0.5343   0.8876  29.7347 107.9388
   1.000   0.1801   0.00672   0.00052   0.0101   0.5113   0.9002  30.6181 108.7256
   1.250   0.2063   0.00687   0.00059   0.0107   0.4887   0.9121  31.4842 109.5072
   1.500   0.2322   0.00703   0.00067   0.0114   0.4673   0.9234  32.3070 110.2956
   1.750   0.2576   0.00721   0.00074   0.0122   0.4455   0.9345  33.1441 111.1155
   2.000   0.2833   0.00742   0.00084   0.0130   0.4229   0.9443  34.0177 111.8993
   2.250   0.3115   0.00763   0.00094   0.0131   0.4004   0.9516  34.8946 112.5418
   2.500   0.3399   0.00786   0.00104   0.0132   0.3775   0.9591  35.7943 113.2314
   2.750   0.3704   0.00812   0.00115   0.0128   0.3526   0.9656  36.7837 113.8786
   3.250   0.4424   0.00875   0.00141   0.0093   0.2942   0.9723  39.1788 114.6332
   3.500   0.4781   0.00908   0.00154   0.0076   0.2650   0.9762  40.4279 115.0818
   3.750   0.5175   0.00947   0.00170   0.0050   0.2360   0.9777  41.7096 115.2957
   4.000   0.5551   0.00982   0.00187   0.0028   0.2150   0.9804  42.6738 115.6504
   4.250   0.5915   0.01011   0.00203   0.0009   0.2011   0.9837  43.3337 116.1241
   4.500   0.6294   0.01051   0.00223  -0.0015   0.1871   0.9857  44.0044 116.4514
   4.750   0.6664   0.01066   0.00233  -0.0035   0.1818   0.9891  44.2741 117.0067
   5.000   0.7052   0.01091   0.00246  -0.0059   0.1744   0.9908  44.6420 117.3600
   5.250   0.7416   0.01131   0.00269  -0.0080   0.1668   0.9935  45.0255 117.9375
   5.500   0.7805   0.01143   0.00278  -0.0104   0.1638   0.9954  45.1846 118.4643
   5.750   0.8187   0.01162   0.00290  -0.0127   0.1598   0.9976  45.3979 119.1830
   6.000   0.8564   0.01188   0.00303  -0.0150   0.1551   0.9996  45.6447 120.3895
   6.250   0.8789   0.01236   0.00328  -0.0144   0.1490   1.0000  45.9621 121.0000
   6.500   0.8999   0.01249   0.00335  -0.0132   0.1471   1.0000  46.0647 121.0000
   6.750   0.9208   0.01261   0.00342  -0.0119   0.1452   1.0000  46.1738 121.0000
   7.000   0.9409   0.01279   0.00352  -0.0106   0.1428   1.0000  46.3030 121.0000
   7.250   0.9607   0.01299   0.00363  -0.0092   0.1404   1.0000  46.4398 121.0000
   7.500   0.9799   0.01323   0.00374  -0.0076   0.1378   1.0000  46.5817 121.0000
   7.750   0.9975   0.01360   0.00393  -0.0058   0.1346   1.0000  46.7599 121.0000
   8.000   1.0110   0.01437   0.00437  -0.0034   0.1302   1.0000  47.0051 121.0000
