#  NACA 2814                                       
#  alpha =   1.4575
#  Mach  =   0.0000
#  Reyn  =   110000
#  Ncrit =  12.0000
#
#    x           cf
   0.299078E-03  0.674949E-02
   0.517258E-04  0.144941E-01
   0.652751E-05  0.214946E-01
   0.154102E-03  0.281019E-01
   0.509248E-03  0.334747E-01
   0.108182E-02  0.374593E-01
   0.187894E-02  0.398048E-01
   0.290336E-02  0.406760E-01
   0.415660E-02  0.403356E-01
   0.564014E-02  0.391140E-01
   0.735722E-02  0.373173E-01
   0.931400E-02  0.351965E-01
   0.115205E-01  0.329292E-01
   0.139914E-01  0.306403E-01
   0.167467E-01  0.284064E-01
   0.198125E-01  0.262712E-01
   0.232220E-01  0.242602E-01
   0.270161E-01  0.223783E-01
   0.312450E-01  0.206284E-01
   0.359687E-01  0.190042E-01
   0.412578E-01  0.174994E-01
   0.471933E-01  0.161043E-01
   0.538643E-01  0.148127E-01
   0.613632E-01  0.136165E-01
   0.697769E-01  0.125105E-01
   0.791741E-01  0.114895E-01
   0.895906E-01  0.105509E-01
   0.101018      0.969038E-02
   0.113400      0.890466E-02
   0.126644      0.818945E-02
   0.140632      0.753933E-02
   0.155247      0.694783E-02
   0.170377      0.640877E-02
   0.185930      0.591588E-02
   0.201829      0.546371E-02
   0.218015      0.504730E-02
   0.234442      0.466231E-02
   0.251074      0.430494E-02
   0.267883      0.397235E-02
   0.284846      0.366183E-02
   0.301944      0.337117E-02
   0.319163      0.309869E-02
   0.336491      0.284274E-02
   0.353915      0.260210E-02
   0.371427      0.237565E-02
   0.389018      0.216255E-02
   0.406682      0.196208E-02
   0.424412      0.177370E-02
   0.442201      0.159694E-02
   0.460045      0.143156E-02
   0.477938      0.127732E-02
   0.495875      0.113415E-02
   0.513853      0.100208E-02
   0.531868      0.881161E-03
   0.549915      0.771523E-03
   0.567990      0.673354E-03
   0.586091      0.586907E-03
   0.604214      0.512447E-03
   0.622355      0.450392E-03
   0.640510      0.401329E-03
   0.658674      0.366148E-03
   0.676841      0.346313E-03
   0.695002      0.344321E-03
   0.713143      0.364487E-03
   0.731240      0.415131E-03
   0.749252      0.512959E-03
   0.767109      0.846882E-03
   0.784689      0.131826E-02
   0.801795      0.192968E-02
   0.818246      0.247400E-02
   0.834311      0.279164E-02
   0.850136      0.290561E-02
   0.865794      0.283324E-02
   0.881309      0.261117E-02
   0.896674      0.228283E-02
   0.911847      0.189502E-02
   0.926754      0.149828E-02
   0.941269      0.112826E-02
   0.955217      0.804621E-03
   0.968380      0.542023E-03
   0.980531      0.342710E-03
   0.991499      0.201045E-03
    1.00000      0.117529E-03
    1.00010       0.00000    
    1.00899       0.00000    
    1.01913       0.00000    
    1.03065       0.00000    
    1.04373       0.00000    
    1.05856       0.00000    
    1.07540       0.00000    
    1.09450       0.00000    
    1.11616       0.00000    
    1.14074       0.00000    
    1.16860       0.00000    
    1.20020       0.00000    
    1.23603       0.00000    
    1.27666       0.00000    
    1.32272       0.00000    
    1.37496       0.00000    
    1.43417       0.00000    
    1.50131       0.00000    
    1.57743       0.00000    
