#  NACA 2814                                       
#  alpha =   2.3912
#  Mach  =   0.0000
#  Reyn  =   110000
#  Ncrit =  12.0000
#
#    x           cf
   0.766382E-03  0.284493E-02
   0.299078E-03  0.108210E-01
   0.517258E-04  0.183117E-01
   0.652751E-05  0.254273E-01
   0.154102E-03  0.316755E-01
   0.509248E-03  0.368372E-01
   0.108182E-02  0.403838E-01
   0.187894E-02  0.423011E-01
   0.290336E-02  0.427186E-01
   0.415660E-02  0.419494E-01
   0.564014E-02  0.403404E-01
   0.735722E-02  0.382067E-01
   0.931400E-02  0.358007E-01
   0.115205E-01  0.332963E-01
   0.139914E-01  0.308133E-01
   0.167467E-01  0.284220E-01
   0.198125E-01  0.261600E-01
   0.232220E-01  0.240478E-01
   0.270161E-01  0.220855E-01
   0.312450E-01  0.202722E-01
   0.359687E-01  0.185985E-01
   0.412578E-01  0.170553E-01
   0.471933E-01  0.156308E-01
   0.538643E-01  0.143169E-01
   0.613632E-01  0.131039E-01
   0.697769E-01  0.119851E-01
   0.791741E-01  0.109541E-01
   0.895906E-01  0.100070E-01
   0.101018      0.913857E-02
   0.113400      0.834433E-02
   0.126644      0.761918E-02
   0.140632      0.695695E-02
   0.155247      0.635054E-02
   0.170377      0.579313E-02
   0.185930      0.527786E-02
   0.201829      0.479862E-02
   0.218015      0.434972E-02
   0.234442      0.392602E-02
   0.251074      0.352283E-02
   0.267883      0.313633E-02
   0.284846      0.276288E-02
   0.301944      0.239947E-02
   0.319163      0.204399E-02
   0.336491      0.169511E-02
   0.353915      0.135313E-02
   0.371427      0.102025E-02
   0.389018      0.701285E-03
   0.406682      0.403868E-03
   0.424412      0.138108E-03
   0.442201     -0.849801E-04
   0.460045     -0.256205E-03
   0.477938     -0.371762E-03
   0.495875     -0.436605E-03
   0.513853     -0.461317E-03
   0.531868     -0.460692E-03
   0.549915     -0.449361E-03
   0.567990     -0.431651E-03
   0.586091     -0.415127E-03
   0.604214     -0.401152E-03
   0.622355     -0.389531E-03
   0.640510     -0.379834E-03
   0.658674     -0.371659E-03
   0.676841     -0.364682E-03
