#      x          Cp  
     1.00000    0.09052
     0.99330    0.08425
     0.98481    0.07418
     0.97554    0.06126
     0.96556    0.04501
     0.95495    0.02516
     0.94385    0.00174
     0.93236   -0.02487
     0.92058   -0.05402
     0.90858   -0.08387
     0.89643   -0.11397
     0.88416   -0.14380
     0.87178   -0.17258
     0.85932   -0.19980
     0.84676   -0.22514
     0.83409   -0.24853
     0.82128   -0.27015
     0.80824   -0.28989
     0.79482   -0.30880
     0.78097   -0.32761
     0.76684   -0.33299
     0.75256   -0.33800
     0.73816   -0.34343
     0.72370   -0.34919
     0.70920   -0.35521
     0.69467   -0.36149
     0.68014   -0.36801
     0.66559   -0.37477
     0.65105   -0.38178
     0.63651   -0.38906
     0.62198   -0.39660
     0.60745   -0.40441
     0.59294   -0.41250
     0.57844   -0.42087
     0.56396   -0.42952
     0.54949   -0.43844
     0.53504   -0.44764
     0.52062   -0.45709
     0.50621   -0.46680
     0.49183   -0.47675
     0.47748   -0.48693
     0.46315   -0.49731
     0.44886   -0.50789
     0.43460   -0.51864
     0.42037   -0.52955
     0.40619   -0.54059
     0.39205   -0.55175
     0.37795   -0.56300
     0.36390   -0.57433
     0.34991   -0.58570
     0.33598   -0.59711
     0.32210   -0.60851
     0.30830   -0.61989
     0.29457   -0.63121
     0.28092   -0.64245
     0.26736   -0.65357
     0.25390   -0.66454
     0.24056   -0.67531
     0.22733   -0.68584
     0.21425   -0.69609
     0.20133   -0.70598
     0.18859   -0.71546
     0.17607   -0.72446
     0.16380   -0.73289
     0.15183   -0.74066
     0.14020   -0.74766
     0.12897   -0.75377
     0.11821   -0.75888
     0.10798   -0.76284
     0.09832   -0.76553
     0.08929   -0.76683
     0.08090   -0.76663
     0.07317   -0.76483
     0.06608   -0.76131
     0.05961   -0.75599
     0.05371   -0.74875
     0.04834   -0.73946
     0.04345   -0.72795
     0.03899   -0.71403
     0.03492   -0.69745
     0.03120   -0.67793
     0.02780   -0.65512
     0.02468   -0.62863
     0.02182   -0.59795
     0.01919   -0.56256
     0.01677   -0.52183
     0.01455   -0.47507
     0.01252   -0.42153
     0.01066   -0.36042
     0.00896   -0.29096
     0.00742   -0.21251
     0.00603   -0.12459
     0.00478   -0.02711
     0.00369    0.07943
     0.00274    0.19373
     0.00193    0.31347
     0.00127    0.43529
     0.00075    0.55481
     0.00037    0.66717
     0.00013    0.76760
     0.00001    0.85177
     0.00002    0.91806
     0.00015    0.96610
     0.00042    0.99361
     0.00083    0.99938
     0.00138    0.98364
     0.00209    0.94870
     0.00294    0.89796
     0.00395    0.83570
     0.00511    0.76600
     0.00643    0.69254
     0.00789    0.61821
     0.00951    0.54513
     0.01128    0.47475
     0.01322    0.40796
     0.01533    0.34521
     0.01762    0.28667
     0.02010    0.23235
     0.02278    0.18210
     0.02570    0.13573
     0.02886    0.09300
     0.03230    0.05368
     0.03604    0.01752
     0.04012   -0.01566
     0.04458   -0.04606
     0.04946   -0.07384
     0.05480   -0.09911
     0.06067   -0.12195
     0.06711   -0.14244
     0.07416   -0.16061
     0.08186   -0.17647
     0.09024   -0.19005
     0.09929   -0.20137
     0.10901   -0.21048
     0.11935   -0.21747
     0.13025   -0.22246
     0.14166   -0.22560
     0.15351   -0.22704
     0.16573   -0.22698
     0.17828   -0.22557
     0.19109   -0.22299
     0.20412   -0.21937
     0.21735   -0.21486
     0.23075   -0.20956
     0.24429   -0.20358
     0.25796   -0.19699
     0.27173   -0.18988
     0.28561   -0.18230
     0.29957   -0.17432
     0.31362   -0.16596
     0.32773   -0.15728
     0.34192   -0.14830
     0.35616   -0.13906
     0.37046   -0.12958
     0.38481   -0.11990
     0.39922   -0.11006
     0.41366   -0.10010
     0.42815   -0.09008
     0.44267   -0.08008
     0.45723   -0.07018
     0.47182   -0.06050
     0.48645   -0.05116
     0.50110   -0.04231
     0.51578   -0.03403
     0.53048   -0.02640
     0.54521   -0.01940
     0.55995   -0.01297
     0.57472   -0.00711
     0.58950   -0.00189
     0.60430    0.00270
     0.61911    0.00670
     0.63394    0.01017
     0.64877    0.01316
     0.66361    0.01574
     0.67845    0.01795
     0.69329    0.01986
     0.70812    0.02149
     0.72293    0.02289
     0.73770    0.02410
     0.75240    0.02514
     0.76699    0.02602
     0.78141    0.02679
     0.79553    0.02743
     0.80929    0.02803
     0.82281    0.02870
     0.83619    0.02946
     0.84947    0.03031
     0.86269    0.03125
     0.87585    0.03230
     0.88893    0.03345
     0.90192    0.03472
     0.91477    0.03610
     0.92742    0.03760
     0.93978    0.03922
     0.95173    0.04095
     0.96314    0.04277
     0.97387    0.04467
     0.98380    0.04662
     0.99286    0.06592
     1.00000    0.09052
