#      x          Cp  
     1.00000    0.06062
     0.99150    0.05091
     0.98053    0.03734
     0.96838    0.02068
     0.95522    0.00034
     0.94127   -0.02426
     0.92675   -0.05372
     0.91185   -0.08871
     0.89667   -0.12995
     0.88131   -0.17841
     0.86579   -0.23584
     0.85014   -0.30558
     0.83431   -0.34919
     0.81825   -0.35074
     0.80179   -0.35248
     0.78469   -0.35438
     0.76711   -0.35623
     0.74925   -0.35810
     0.73124   -0.36002
     0.71314   -0.36202
     0.69500   -0.36415
     0.67684   -0.36645
     0.65867   -0.36898
     0.64051   -0.37180
     0.62235   -0.37499
     0.60421   -0.37863
     0.58609   -0.38283
     0.56799   -0.38772
     0.54991   -0.39343
     0.53187   -0.40013
     0.51385   -0.40796
     0.49588   -0.41707
     0.47794   -0.42756
     0.46004   -0.43934
     0.44220   -0.45239
     0.42441   -0.46685
     0.40668   -0.48270
     0.38902   -0.49973
     0.37143   -0.51763
     0.35391   -0.53610
     0.33649   -0.55487
     0.31916   -0.57373
     0.30194   -0.59252
     0.28485   -0.61112
     0.26788   -0.62946
     0.25107   -0.64746
     0.23444   -0.66507
     0.21802   -0.68221
     0.20183   -0.69881
     0.18593   -0.71478
     0.17038   -0.73000
     0.15525   -0.74433
     0.14063   -0.75760
     0.12664   -0.76959
     0.11340   -0.78007
     0.10102   -0.78878
     0.08959   -0.79545
     0.07917   -0.79986
     0.06978   -0.80176
     0.06136   -0.80095
     0.05386   -0.79720
     0.04719   -0.79024
     0.04126   -0.77974
     0.03597   -0.76527
     0.03125   -0.74629
     0.02702   -0.72211
     0.02322   -0.69190
     0.01981   -0.65460
     0.01675   -0.60897
     0.01399   -0.55356
     0.01152   -0.48670
     0.00931   -0.40664
     0.00736   -0.31168
     0.00564   -0.20052
     0.00416   -0.07273
     0.00290    0.07053
     0.00188    0.22573
     0.00108    0.38655
     0.00051    0.54403
     0.00015    0.68810
     0.00001    0.80896
     0.00005    0.90197
     0.00030    0.96673
     0.00077    0.99751
     0.00147    0.99347
     0.00240    0.95771
     0.00358    0.89753
     0.00500    0.82054
     0.00666    0.73492
     0.00855    0.64622
     0.01069    0.55890
     0.01309    0.47541
     0.01576    0.39718
     0.01871    0.32479
     0.02197    0.25832
     0.02558    0.19759
     0.02959    0.14224
     0.03403    0.09190
     0.03897    0.04618
     0.04449    0.00474
     0.05067   -0.03269
     0.05760   -0.06633
     0.06538   -0.09631
     0.07410   -0.12269
     0.08384   -0.14551
     0.09464   -0.16477
     0.10648   -0.18050
     0.11931   -0.19284
     0.13302   -0.20196
     0.14750   -0.20814
     0.16262   -0.21173
     0.17825   -0.21304
     0.19430   -0.21242
     0.21069   -0.21015
     0.22735   -0.20651
     0.24425   -0.20170
     0.26135   -0.19593
     0.27861   -0.18935
     0.29602   -0.18209
     0.31355   -0.17426
     0.33120   -0.16596
     0.34895   -0.15727
     0.36679   -0.14824
     0.38471   -0.13893
     0.40271   -0.12939
     0.42077   -0.11965
     0.43890   -0.10975
     0.45708   -0.09972
     0.47531   -0.08959
     0.49359   -0.07941
     0.51191   -0.06921
     0.53027   -0.05907
     0.54867   -0.04906
     0.56710   -0.03928
     0.58555   -0.02984
     0.60403   -0.02087
     0.62254   -0.01248
     0.64106   -0.00475
     0.65959    0.00233
     0.67813    0.00882
     0.69667    0.01473
     0.71519    0.01997
     0.73368    0.02456
     0.75210    0.02853
     0.77037    0.03194
     0.78838    0.03484
     0.80593    0.03727
     0.82296    0.03956
     0.83972    0.04188
     0.85632    0.04430
     0.87282    0.04687
     0.88920    0.04962
     0.90542    0.05258
     0.92141    0.05575
     0.93701    0.05910
     0.95202    0.06251
     0.96618    0.06574
     0.97922    0.06844
     0.99095    0.06863
     1.00000    0.06062
